City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Sorland,NO,2021-01-15 03:11:39,67.667,12.6934,39.43,71,82,8.63
89,Deputatskiy,RU,2021-01-15 03:11:39,69.3,139.9,-20.56,88,100,4.36
90,Barrow,US,2021-01-15 03:11:39,71.2906,-156.7887,-11.2,77,1,12.66
91,Zhireken,RU,2021-01-15 03:11:39,52.8249,117.3076,-17.18,81,0,3.85
92,Chimbote,PE,2021-01-15 03:11:40,-9.0853,-78.5783,70.52,82,97,6.53
93,Clyde River,CA,2021-01-15 03:09:46,70.4692,-68.5914,-9.4,84,90,5.75
94,Wawa,NG,2021-01-15 03:11:40,9.9022,4.4192,70.27,22,0,7.09
95,Nome,US,2021-01-15 03:11:40,64.5011,-165.4064,19.4,86,90,9.22
96,Bansang,GM,2021-01-15 03:11:40,13.4333,-14.65,72.7,19,0,5.44
97,Guerrero Negro,MX,2021-01-15 03:10:29,27.9769,-114.0611,65.12,44,0,8.95
98,Grand Gaube,MU,2021-01-15 03:11:40,-20.0064,57.6608,82.0,78,1,3.0
99,Namibe,AO,2021-01-15 03:11:40,-15.1961,12.1522,70.79,73,56,2.42
100,Hualmay,PE,2021-01-15 03:10:24,-11.0964,-77.6139,70.07,85,100,6.55
101,Karasburg,NA,2021-01-15 03:11:40,-28.0167,18.75,66.6,57,100,13.09
102,Comodoro Rivadavia,AR,2021-01-15 03:11:41,-45.8667,-67.5,64.4,77,0,10.36
103,Marrakesh,MA,2021-01-15 03:10:00,31.6315,-8.0083,39.2,87,0,3.44
104,Carnarvon,AU,2021-01-15 03:11:41,-24.8667,113.6333,84.2,79,56,16.11
105,Grindavik,IS,2021-01-15 03:10:34,63.8424,-22.4338,37.4,93,75,12.66
106,Algiers,DZ,2021-01-15 03:09:56,36.7525,3.042,50.0,81,75,4.61
107,Omboue,GA,2021-01-15 03:11:41,-1.5746,9.2618,73.53,93,45,4.09
108,Innisfail,AU,2021-01-15 03:10:59,-17.5333,146.0333,81.0,55,92,5.99
109,Saint-Augustin,CA,2021-01-15 03:11:41,51.226,-58.6502,25.56,96,100,3.04
110,Port Elizabeth,ZA,2021-01-15 03:11:41,-33.918,25.5701,68.0,100,40,3.44
111,Mar Del Plata,AR,2021-01-15 03:11:32,-38.0023,-57.5575,69.01,68,0,16.11
112,Linfen,CN,2021-01-15 03:11:41,36.0889,111.5189,39.65,49,39,1.74
113,Port Augusta,AU,2021-01-15 03:11:42,-32.5,137.7667,71.01,63,75,25.32
114,Lagoa,PT,2021-01-15 03:11:42,39.05,-27.9833,62.15,87,100,27.81
115,Azare,NG,2021-01-15 03:11:42,11.6765,10.1948,60.53,29,0,7.74
116,Vila Franca Do Campo,PT,2021-01-15 03:11:42,37.7167,-25.4333,61.0,94,75,16.11
117,Mayo,US,2021-01-15 03:11:42,38.8876,-76.5119,39.99,87,1,3.53
118,Stephenville,US,2021-01-15 03:11:42,32.2207,-98.2023,44.01,36,1,3.44
119,Venado Tuerto,AR,2021-01-15 03:11:42,-33.7456,-61.9688,69.01,74,0,5.99
120,Tucuman,AR,2021-01-15 03:10:12,-26.8241,-65.2226,73.4,88,0,5.75
121,Fairbanks,US,2021-01-15 03:10:03,64.8378,-147.7164,-7.6,84,75,2.3
122,Mitchell,US,2021-01-15 03:11:43,43.7094,-98.0298,33.8,55,90,39.12
123,Port Blair,IN,2021-01-15 03:11:43,11.6667,92.75,80.47,72,26,13.71
124,Avarua,CK,2021-01-15 03:11:43,-21.2078,-159.775,86.0,66,90,13.8
125,Raga,SS,2021-01-15 03:11:43,8.4596,25.678,62.08,29,72,3.69
126,Hohhot,CN,2021-01-15 03:11:43,40.8106,111.6522,14.0,52,11,11.18
